season,reception,passing_yards,pass_touchdown,rush_touchdown,interception,fumble_lost,rushing_yards,two_pt,receiving_yards,receive_touchdown,id,fantasy_pts
2010,0,4700.0,33.0,0.0,17.0,1.0,18.0,0.0,0.0,0.0,00-0010346,285.8
2012,0,4659.0,37.0,0.0,11.0,2.0,6.0,1.0,0.0,0.0,00-0010346,310.96000000000004
2013,0,5477.0,55.0,1.0,10.0,6.0,-31.0,0.0,0.0,0.0,00-0010346,409.98
2014,0,4727.0,39.0,0.0,15.0,2.0,-24.0,2.0,0.0,0.0,00-0010346,312.68000000000006
2015,0,2249.0,9.0,0.0,17.0,0.0,-6.0,0.0,0.0,0.0,00-0010346,91.36000000000001
1999,29,0.0,0.0,5.0,0.0,3.0,695.0,1.0,228.0,1.0,00-0009960,153.3
2000,2,0.0,0.0,0.0,0.0,1.0,101.0,0.0,7.0,1.0,00-0009960,16.8
1999,1,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,0.0,00-0000872,0.4000000000000002
2000,5,0.0,0.0,0.0,0.0,2.0,13.0,0.0,38.0,0.0,00-0000872,6.1
2001,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00-0000872,-2.0
1999,0,4436.0,36.0,2.0,15.0,9.0,124.0,0.0,0.0,0.0,00-0001218,297.84
2000,0,3730.0,19.0,1.0,18.0,8.0,106.0,1.0,0.0,0.0,00-0001218,191.8
2002,0,925.0,6.0,1.0,5.0,1.0,9.0,0.0,0.0,0.0,00-0001218,55.9
2003,0,389.0,2.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,00-0001218,14.860000000000003
1999,23,0.0,0.0,6.0,0.0,1.0,718.0,0.0,189.0,0.0,00-0001224,147.70000000000002
2000,34,0.0,0.0,2.0,0.0,3.0,627.0,0.0,341.0,2.0,00-0001224,148.8
2001,12,0.0,0.0,1.0,0.0,2.0,230.0,0.0,121.0,0.0,00-0001224,49.1
1999,28,0.0,0.0,2.0,0.0,3.0,884.0,0.0,172.0,0.0,00-0017915,139.6
2000,44,34.0,0.0,8.0,0.0,3.0,1000.0,0.0,409.0,1.0,00-0017915,234.26000000000002
2001,60,0.0,0.0,6.0,0.0,6.0,1245.0,0.0,511.0,1.0,00-0017915,265.6
2002,47,0.0,0.0,16.0,0.0,5.0,1853.0,0.0,363.0,1.0,00-0017915,360.6
2003,50,0.0,0.0,9.0,0.0,5.0,1372.0,0.0,351.0,1.0,00-0017915,272.3
2005,17,0.0,0.0,6.0,0.0,1.0,743.0,0.0,93.0,0.0,00-0017915,134.6
2007,0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,00-0017915,-0.5
2008,29,0.0,0.0,4.0,0.0,2.0,659.0,0.0,219.0,1.0,00-0017915,142.8
2009,35,0.0,0.0,11.0,1.0,2.0,1121.0,1.0,264.0,2.0,00-0017915,247.50000000000003
2010,19,0.0,0.0,2.0,0.0,2.0,673.0,0.0,141.0,1.0,00-0017915,114.4
2011,13,0.0,0.0,2.0,0.0,2.0,444.0,0.0,83.0,0.0,00-0017915,73.7
1999,0,970.0,6.0,1.0,6.0,1.0,47.0,0.0,0.0,0.0,00-0007530,59.50000000000001
1999,19,0.0,0.0,0.0,0.0,1.0,40.0,0.0,154.0,0.0,00-0003610,36.4
1999,7,0.0,0.0,0.0,0.0,1.0,32.0,0.0,53.0,0.0,00-0004060,13.5
1999,23,0.0,0.0,1.0,0.0,1.0,475.0,0.0,163.0,0.0,00-0009599,90.8
1999,61,0.0,0.0,0.0,0.0,0.0,20.0,1.0,835.0,4.0,00-0009163,172.5
2000,55,0.0,0.0,0.0,0.0,0.0,72.0,0.0,549.0,2.0,00-0009163,129.10000000000002
2001,31,0.0,0.0,0.0,0.0,0.0,22.0,1.0,491.0,1.0,00-0009163,90.30000000000001
2002,53,0.0,0.0,0.0,0.0,0.0,58.0,0.0,906.0,2.0,00-0009163,161.4
2003,56,0.0,0.0,0.0,0.0,1.0,9.0,0.0,854.0,5.0,00-0009163,170.3
2004,62,0.0,0.0,0.0,0.0,1.0,15.0,1.0,1086.0,8.0,00-0009163,220.10000000000002
2005,68,0.0,0.0,0.0,0.0,1.0,43.0,0.0,1102.0,5.0,00-0009163,210.5
2006,53,0.0,0.0,0.0,0.0,0.0,16.0,0.0,860.0,5.0,00-0009163,170.6
2007,13,0.0,0.0,0.0,0.0,1.0,5.0,0.0,101.0,0.0,00-0009163,21.6
1999,20,0.0,0.0,0.0,0.0,0.0,205.0,0.0,151.0,1.0,00-0015242,61.6
2000,29,0.0,0.0,14.0,0.0,3.0,1077.0,0.0,192.0,2.0,00-0015242,245.89999999999998
2001,30,0.0,0.0,6.0,0.0,5.0,968.0,0.0,234.0,2.0,00-0015242,188.20000000000002
2002,20,0.0,0.0,7.0,0.0,2.0,737.0,0.0,167.0,0.0,00-0015242,148.39999999999998
2003,1,0.0,0.0,0.0,0.0,0.0,61.0,0.0,2.0,0.0,00-0015242,7.300000000000001
1999,21,0.0,0.0,3.0,0.0,1.0,78.0,0.0,179.0,0.0,00-0005361,62.7
2000,17,0.0,0.0,1.0,0.0,0.0,33.0,0.0,114.0,1.0,00-0005361,43.699999999999996
1999,0,2179.0,12.0,8.0,8.0,1.0,337.0,1.0,0.0,0.0,00-0011024,200.86
2000,0,2847.0,15.0,0.0,13.0,6.0,403.0,0.0,0.0,0.0,00-0011024,176.18
2001,0,3350.0,21.0,5.0,12.0,3.0,414.0,3.0,0.0,0.0,00-0011024,265.4
2002,0,3387.0,22.0,3.0,15.0,2.0,440.0,1.0,0.0,0.0,00-0011024,253.48
2003,1,3246.0,24.0,4.0,7.0,6.0,138.0,2.0,4.0,0.0,00-0011024,243.04000000000002
2004,0,1343.0,8.0,1.0,9.0,3.0,128.0,1.0,0.0,0.0,00-0011024,82.52
2005,0,3161.0,16.0,1.0,11.0,4.0,139.0,0.0,0.0,0.0,00-0011024,180.34
2006,0,3050.0,16.0,1.0,12.0,1.0,119.0,0.0,0.0,0.0,00-0011024,177.9
2007,0,1113.0,2.0,0.0,4.0,7.0,32.0,0.0,0.0,0.0,00-0011024,33.720000000000006
1999,31,0.0,0.0,5.0,0.0,2.0,1200.0,0.0,290.0,1.0,00-0004304,212.0
2000,18,0.0,0.0,7.0,0.0,3.0,1435.0,0.0,158.0,0.0,00-0004304,213.3
2001,34,0.0,0.0,10.0,1.0,3.0,1315.0,0.0,228.0,3.0,00-0004304,258.3
2002,43,0.0,0.0,7.0,0.0,2.0,1311.0,0.0,298.0,0.0,00-0004304,241.9
2003,11,0.0,0.0,2.0,0.0,0.0,541.0,0.0,71.0,0.0,00-0004304,84.19999999999999
2004,15,0.0,0.0,12.0,0.0,4.0,1635.0,1.0,103.0,1.0,00-0004304,260.8
2005,22,0.0,0.0,12.0,0.0,1.0,733.0,0.0,181.0,1.0,00-0004304,189.4
2006,15,0.0,0.0,13.0,0.0,2.0,812.0,0.0,147.0,0.0,00-0004304,184.89999999999998
1999,0,2670.0,16.0,2.0,12.0,5.0,332.0,2.0,0.0,0.0,00-0001335,186.0
2000,0,2025.0,13.0,1.0,9.0,3.0,243.0,0.0,0.0,0.0,00-0001335,139.3
2001,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,00-0001335,-0.1
2002,0,2084.0,13.0,1.0,11.0,4.0,106.0,1.0,0.0,0.0,00-0001335,123.96000000000001
2003,0,2252.0,13.0,2.0,15.0,4.0,177.0,1.0,0.0,0.0,00-0001335,135.77999999999997
2004,0,126.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,00-0001335,5.639999999999999
2005,0,55.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,00-0001335,6.1000000000000005
1999,47,0.0,0.0,9.0,0.0,4.0,1304.0,0.0,436.0,4.0,00-0005883,291.0
2000,50,0.0,0.0,14.0,0.0,3.0,1509.0,0.0,453.0,2.0,00-0005883,336.2
2001,37,0.0,0.0,5.0,0.0,6.0,939.0,0.0,268.0,0.0,00-0005883,175.70000000000002
2002,36,0.0,0.0,12.0,0.0,1.0,1165.0,1.0,255.0,2.0,00-0005883,262.0
2003,22,0.0,0.0,5.0,0.0,0.0,1031.0,0.0,163.0,0.0,00-0005883,171.40000000000003
2004,9,0.0,0.0,4.0,0.0,1.0,432.0,0.0,83.0,0.0,00-0005883,82.5
1999,0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,00-0011341,5.0
2000,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,1.0,00-0011341,14.4
1999,3,0.0,0.0,1.0,0.0,0.0,15.0,0.0,24.0,0.0,00-0002743,12.9
2001,13,0.0,0.0,3.0,0.0,0.0,308.0,0.0,83.0,0.0,00-0002743,70.1
